timestamp,event_id,risk,state,frame_id,num_rois,hour
2026-09-14T15:14:01.832Z,camera_0,event_1789398840696,0.8825,critical,400,2,21
2026-09-14T15:14:55.091Z,camera_0,event_1789398893844,0.7014,critical,570,3,21
2026-09-14T15:18:42.996Z,camera_0,event_1789399121721,0.6545,critical,1315,2,21
2026-09-14T15:27:52.773Z,camera_0,event_1789399671434,0.6683,critical,910,3,21
2026-09-14T15:30:39.278Z,camera_0,event_1789399834452,0.6544,critical,1060,3,21
2026-09-14T15:34:54.150Z,camera_0,event_1789400091633,0.6615,critical,1373,3,21
2026-09-14T15:35:24.998Z,camera_0,event_1789400123461,0.7209,critical,1440,2,21
2026-09-14T15:37:30.477Z,camera_0,event_1789400248167,0.9338,critical,1650,2,21
2026-09-14T15:40:16.474Z,camera_0,event_1789400414718,0.909,critical,1900,3,21
2026-09-14T16:02:20.259Z,camera_0,event_1789401740198,0.6512,critical,3,1,22
2026-09-14T16:09:08.369Z,camera_0,event_1789402146454,0.7317,critical,740,2,22
2026-09-14T16:09:31.183Z,camera_0,event_1789402168582,0.7359,critical,770,2,22
2026-09-14T16:24:17.090Z,camera_0,event_1789403057017,0.6973,critical,3,1,22
2026-09-14T16:33:05.910Z,camera_0,event_1789403585863,0.7086,critical,3,1,22
2026-09-14T16:35:41.551Z,camera_0,event_1789403741493,0.6811,critical,3,1,22
2026-09-14T16:38:03.463Z,camera_1,event_1789403874735,1,critical,150,2,22
2026-09-14T17:14:10.532Z,camera_0,event_1789406050303,0.6651,critical,30,2,23
2026-09-14T17:28:19.049Z,camera_0,event_1789406896686,0.7173,critical,200,2,23
2026-09-14T17:28:53.542Z,camera_0,event_1789406930832,0.7015,critical,235,2,23
2026-09-14T17:31:39.057Z,camera_0,event_1789407098607,0.7189,critical,70,2,23
2026-09-14T18:07:42.623Z,camera_0,event_1789409262584,0.6622,critical,9,3,-1
2026-09-14T18:08:48.373Z,camera_0,event_1789409326507,0.7477,critical,102,2,-1
2026-09-14T18:11:28.284Z,camera_0,event_1789409486269,0.736,critical,270,2,-1
2026-09-14T18:12:45.969Z,camera_0,event_1789409565766,0.7289,critical,6,7,-1
2026-09-14T18:13:46.647Z,camera_0,event_1789409626163,0.661,critical,100,1,-1
2026-09-14T18:13:59.531Z,camera_0,event_1789409637685,0.6651,critical,120,1,-1
2026-09-14T18:14:26.685Z,camera_0,event_1789409665416,0.6558,critical,160,1,-1
2026-09-14T18:21:19.865Z,camera_0,event_1789410077725,1,critical,1150,2,-1
2026-09-14T18:21:44.154Z,camera_0,event_1789410103117,0.6761,critical,1190,1,-1
2026-09-14T18:22:39.992Z,camera_0,event_1789410159925,0.7715,critical,5,1,-1
2026-09-14T18:23:23.890Z,camera_0,event_1789410203342,0.7034,critical,50,1,-1
2026-09-14T18:25:58.216Z,camera_0,event_1789410358119,0.675,critical,3,1,-1
2026-09-14T18:26:35.578Z,camera_0,event_1789410394381,0.6635,critical,56,7,-1
2026-09-14T18:33:56.944Z,camera_0,event_1789410835039,0.6822,critical,280,1,-1
2026-09-14T18:36:05.676Z,camera_0,event_1789410965230,0.6571,critical,50,1,-1
2026-09-14T18:36:18.277Z,camera_0,event_1789410976899,0.7098,critical,63,2,-1
2026-09-14T18:39:52.361Z,camera_0,event_1789411190483,0.6512,critical,370,1,-1
